,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
119,20220207,1072,9,1851,18,28083498,21861567,36143500,13801565,292981702490,228448591270,377177152810,144253140950,10432.521706875688,10435.545888195664,10449.781173966167,10451.940845114304,-8060002.0
120,20220206,2376,15,5974,59,35318855,334724672,276958381,93085146,371209313940,3578072309670,2955045545370,994236078240,10510.230695190996,10669.637563233733,10689.59837436184,10680.931609002364,-241639526.0
121,20220205,1180,12,3347,35,16513320,94226084,69586770,41152634,178467677940,1018509105680,752185558960,444791224660,10807.498306821402,10809.318480510017,10809.205502798992,10808.329417261602,-53073450.0
122,20220202,1562,9,3240,20,38947871,56457549,61867545,33537875,420474638330,608502650000,667242411380,361734876950,10795.831133619602,10785.015170393459,10778.056447331783,10785.861565468891,-22919674.0
123,20220201,1517,8,3404,29,24578741,101498834,93256846,32820729,264550171390,1091794169010,1003321005570,353023334830,10763.373575155863,10758.684735810173,10756.716367894433,10756.108885637488,-68678105.0
124,20220131,2521,13,3755,22,59910472,8770293,54881199,13799566,643771575230,94106083600,589667767800,148209891030,10745.560062187458,10744.440328280729,10730.095744805789,10740.1849471208,5029273.0
125,20220130,4049,14,4974,44,74705252,92794179,122068872,45430559,796556601490,989012959300,1301284178570,484285382220,10662.658650692993,10660.245787886039,10658.135779185028,10659.903661321887,-47363620.0
126,20220129,1943,20,3127,20,79531655,10768909,52512441,37788123,825951471480,111985353020,544687413070,393249411430,10385.191550207273,10372.54034848618,10398.950629074867,10406.693431954796,27019214.0
127,20220126,3263,15,3439,29,77863571,8217282,57594016,28486837,772483467530,81529894030,571173817130,282839544430,9920.98689552782,9917.24239424457,9921.7592909675,9928.780244363388,20269555.0
128,20220125,3610,10,3451,57,63326797,246145419,213804586,95667630,601723876590,2333317427540,2024413438250,910627865880,9501.883959013434,9468.52205616394,9479.426580512554,9518.662329985596,-150477789.0
